mode,episode,reward,steps,success,collision,goal_x,goal_y,epsilon
train,1,21.6799,120,0,0,-6.0,-5.0,0.4
train,2,0.9341,120,0,0,-5.0,-3.5,0.384
train,3,-22.092,120,0,0,-4.0,-6.0,0.3686
train,4,-32.2668,120,0,0,-3.5,-4.5,0.3539
train,5,-34.7078,120,0,0,-6.5,-4.0,0.3397
train,6,-33.1642,120,0,0,-4.0,-6.0,0.3261
train,7,-34.1478,120,0,0,-5.0,-3.5,0.3131
train,8,-34.1733,120,0,0,-4.0,-6.0,0.3006
train,9,-33.6343,120,0,0,-6.5,-4.0,0.2886
train,10,-33.3664,120,0,0,-5.0,-3.5,0.277
train,11,-33.6821,120,0,0,-5.0,-3.5,0.2659
train,12,-34.2992,120,0,0,-4.0,-6.0,0.2553
train,13,-33.5355,120,0,0,-3.5,-4.5,0.2451
train,14,-33.252,120,0,0,-3.5,-4.5,0.2353
train,15,-33.4732,120,0,0,-6.0,-5.0,0.2259
train,16,-35.075,120,0,0,-3.5,-4.5,0.2168
train,17,-32.9833,120,0,0,-3.5,-4.5,0.2082
train,18,-33.3965,120,0,0,-6.0,-5.0,0.1998
train,19,-33.3237,120,0,0,-6.5,-4.0,0.1918
train,20,-33.5255,120,0,0,-6.5,-4.0,0.1842
train,21,-33.4271,120,0,0,-6.5,-4.0,0.1768
train,22,-33.9284,120,0,0,-6.5,-4.0,0.1697
train,23,-33.3295,120,0,0,-5.0,-3.5,0.1629
train,24,-33.0304,120,0,0,-6.5,-4.0,0.1564
train,25,-34.0313,120,0,0,-5.0,-3.5,0.1502
train,26,-33.4211,120,0,0,-6.0,-5.0,0.1442
train,27,-32.8226,120,0,0,-6.0,-5.0,0.1384
train,28,-32.8332,120,0,0,-6.5,-4.0,0.1329
train,29,-32.8337,120,0,0,-5.0,-3.5,0.1275
train,30,-33.3236,120,0,0,-3.5,-4.5,0.1224
